Commodity name,HSCode,FY25 import value (mm$),Last 4 Years import value average annual growth (%),FY25 export value (mm$),Last 4 Years export value average annual growth (%),Import Value/ Export Value FY25 ratio,Import Value/ Export Value Last 4 years ratio,Last 4 Years import price average annual growth (%),FY25 import price ($/unit),Last 4 Years export price average annual growth (%),FY25 export price ($/unit),Unit
ENDLESS SYNCHRONOUS BELTS&OF A CIRCUMFRNCEBETWN 60CM AND150CM WHERE RUBY COMPN MORE THAN 25% BY WT.W,40103590,5.23,-0.52,2.23,18.69,2.35,3.18,1.61,39.17,0.5,49.05,KGS
ENDLESS SYNCHRONOUS BELTS&OF A CIRCUMFRNCEBTWN 150CM AND198CM WHERE RUBY WHERE RUBY COMPD LESS THAN 25% B,40103610,0,0,0,0,0,0,0,0,0,0,KGS
ENDLESS CYNCHRONOUS BLTS&OF A CIRCUMFRNCE BTWN 150CM AND 198CM WHERE RUBY COMPD MORE THAN 25% BY WT.,40103690,1.42,1.07,0.01,-20,142,83.17,-3.64,5.89,2.25,8.9,KGS
ENDLESS FLAT BLTS OF VULCANISED RUBR WHERE RUBR COMPD LESS THAN 25% BY WT.,40103911,0.34,1.27,0.06,40,5.67,7.31,21.62,41.41,3.98,15.8,KGS
PLY BLTNG OF VULCANISED RUBY WHERE RUBY COMPD LESS THAN 25% BY WT.,40103912,0,-5.56,0,-50,0,2.2,-5.56,0,-5.56,0,KGS
TRNSMSN BLT/BLTNG OTHER THAN FLAT BLT/PLY BLT WHERE RUBR COMPD LESS THAN 25% BY WT.,40103919,3.99,0.26,2.09,-8.53,1.91,1.6,-2.59,18.23,-1.08,18.39,KGS
ENDLESS FLAT BELT,40103991,0.2,3.22,0.09,-5,2.22,1.49,5.37,23.38,-0.88,9.46,KGS
PLY BELTING OF VULCANISED RUBR WHERE RUBY COMPD MORE THAN 25% BY WT.,40103992,0.02,1.11,0.11,-18.27,0.18,0.11,-0.26,5.61,1.13,3.77,KGS
TRNSMSN BLT/BLTNG OTHER THAN FLAT BLT/PLY BLT WHERE RUBY COMPD MORE THAN 25% BY WT.,40103999,46.27,0.17,84.51,13.64,0.55,0.64,-1.52,6.72,0.79,11.53,KGS
RADIALS TYRES USED ON MOTOR CARS (INCL STATION WAGONS AND RACING CARS),40111010,57.21,-0.59,201.82,10.75,0.28,0.36,1.32,68.97,0.39,30.7,NOS
OTHER TYRES USED ON MOTOR CARS (INCL STATION WAGONS AND RACING CARS).,40111090,0.54,-3.97,34.04,31.23,0.02,0.06,3.43,64.94,1.9,26.39,NOS
RADIALS TYRES USED ON BUSES/LORRIES,40112010,12.93,2.16,489.36,2.1,0.03,0.02,-0.42,129.32,-0.11,157.6,NOS
OTHER TYRES USED ON BUSES/LORRIES,40112090,2.02,19.57,191.88,-0.43,0.01,0,-1.88,61.71,-0.08,80.2,NOS
NEW PNMTC TYRES OF A KIND USED ON AIRCRAFT,40113000,23.17,2.23,1.03,8.3,22.5,19.77,0.24,1075.27,-31.77,821.37,NOS
TYRES FOR MOTORCYCLES,40114010,8.18,-0.79,81.69,26.42,0.1,0.15,0.39,37.37,0.04,12.73,NOS
TYRES FOR MOTOR SCOOTERS,40114020,0.39,-1.28,15.09,41.68,0.03,0.05,0.32,20.38,-0.02,10.02,NOS
TYRES USES OTHER THAN MOTORCYCLES/ SCOOTERS,40114090,0.07,-2.56,19.3,6.65,0,0.01,-3.45,12.08,-0.66,9.48,NOS
MULTICELLULR POLYURETHANE(MCP) TUBES TYRE USED ON BICYCLES,40115010,0,0,0.83,-15.51,0,0,0,0,0.07,2.17,NOS
OTHER,40115090,0.12,-4.47,29.86,-13.58,0,0.01,-55.76,8.75,-0.81,2.2,NOS
OF A KIND USED ON AGRICULTURAL OR FORESTRY VEHICLES AND MACHINES,40117000,0.83,-1.15,1050.21,0.72,0,0,-4.23,14.94,0.44,205.11,NOS
OF A KIND USED ON CONSTRUCTION& MINING OR INDUSTRIAL HANDLING VEHICLES AND MACHINES,40118000,64.21,-3.3,554.74,2.65,0.12,0.25,-3.11,125.67,0.47,199.55,NOS
OTHER,40119000,11.55,1.19,24.49,-8.93,0.47,0.35,-2.1,97.21,1.75,25.91,NOS
RETREADED TYRE USED ON MOTOR CARS(INCL STATATION WAGON/RACING CARS),40121100,0,0,0.03,-12.5,0,0,0,0,-0.73,7.54,NOS
RETREADED TYRE USED 0ON BUSES/LORRIES,40121200,0,-5.56,0.07,30.77,0,0.05,-5.56,0,0.12,6.64,NOS
RETREADED TYRE USED ON AIRCRAFTS,40121300,7.52,0.76,14.04,71.66,0.54,0.87,-0.09,358.27,3.51,447.92,NOS
RETREADED TYRE USED FOR TWO WHEELERS,40121910,0,0,0,0,0,0,0,0,0,0,NOS
RETREADED TYRE USED IN VEHICLE OTHER THAN TWO WHEELER/MOTOR CAR/BUS/LORRY/AIRCRAFT,40121990,0,-5.56,0.06,-9.09,0,0.04,-5.56,0,6.7,8.94,NOS
USED PNMTC TYRES FOR BUSES/LORRIES/EARTH MOVING EQUIPMENT INCL LIGHT COMMRCL VEHICL,40122010,0,-5.56,0,-50,0,0.5,-5.56,0,-5.56,0,NOS
USED PNMTC TYRES FOR PASENGER AUTO VEHICLEINCL TWO/THREE WHEELER AND PERSONAL VEHICLES,40122020,0,-5.56,0,-50,0,1,-5.56,0,-5.56,0,NOS
USED PNMTC TYRES FOR OTHER VEHICLES.,40122090,0.02,-5.5,0.04,10,0.5,47.07,1.73,4.36,0.88,5.86,NOS
SOLID RUBBER TYRES FOR MOTOR VEHICLES,40129010,0.5,4.86,11.72,1.48,0.04,0.03,-1.38,3.86,0.11,2.66,KGS
SOLID RUBBER TYRES FOR OTHER VEHIVLES,40129020,1.76,-3.11,37.06,7.21,0.05,0.1,0.94,2.62,-0.31,2.58,KGS
TYRE WITH METALLIC FRAMEWORK,40129030,0.56,24.55,2.1,-9.2,0.27,0.09,-0.11,3.13,1.23,4.61,KGS
TYRE FLAPS USED IN TWO/THREE WHEELER MOTORVEHICLES,40129041,0,0,0.01,25,0,0,0,0,26.7,14.71,KGS
TYRE FLAPS USED IN OTHER VEHICLES,40129049,0.31,-0.28,12.97,3.62,0.02,0.03,8.04,3.9,-0.22,2.3,KGS
TYRE TREAD INTERCHANGABLE,40129050,0.29,-1.16,0,-50,0,69.5,-1.14,2.22,-5.56,0,KGS
OTHER TYRE FLAPS,40129090,0.25,-2.62,0.88,-15.63,0.28,0.35,4.46,6.91,1.26,2.13,KGS
INNER TUBES FOR MOTOR CARS,40131010,0,-5.56,9.12,7.55,0,0,-5.56,0,-0.6,2.77,NOS
INNER TUBES FOR TRACK AND BUS,40131020,1.22,9.18,22.63,-5.05,0.05,0.03,-1.6,17.48,-0.34,8.1,NOS
INNER TUBES OF RUBBER USED ON BICYCLES,40132000,0.13,-2.42,21.62,0.22,0.01,0.01,1.42,1.52,0,0.67,NOS
INNER TUBES FOR AIRCRAFT,40139010,0.09,-0.72,0,-50,0,1.74,-4.39,4.35,-5.56,0,NOS
INNER TUBES FOR MOTOR CYCLES,40139020,0.41,-0.34,7.16,10.68,0.06,0.07,-0.24,4.99,0.48,1.57,NOS
INNER TUBES FOR OFF THE ROAD VEHICLE N.E. S.OR INCLUDED,40139030,0.32,-2.88,4.95,17.68,0.06,0.15,0.29,28.2,0.95,8.17,NOS
INNER TUBES USED IN REAR TYRES OF TRACTORS,40139041,0.04,-3.75,2.7,6.56,0.01,0.04,-4.3,55.63,-1.13,8.77,NOS
INNER TUBES USED IN OTHER THAN REAR TYRES OF TRACTORS,40139049,0,-5.56,1.2,-9.91,0,0,-5.56,0,-1.01,2.97,NOS
INNER TUBES USED IN TYRES OF CYCLE RICKSHA/THREE WHEELER POWERED RICKSHAWS,40139050,0.01,-2.22,1.53,15.01,0.01,0.01,-1.94,1.61,0.55,1.61,NOS
INNER TUBES USED IN OTHER VEHICLES,40139090,0.35,-1.45,15.04,-5.34,0.02,0.03,-4.04,2.55,1.1,2.39,NOS
RUBBER CONTRACEPTIVES MALE(CONDOMS),40141010,3.8,5.61,57.16,-7.99,0.07,0.04,0,30.55,0.03,11.67,KGS
RUBR CONTRACEPTIVES& FEMALE (DIAPHRAGMS) E.G.CERVICAL CAPS,40141020,0,-5.56,5.16,3.71,0,0.02,-5.56,0,1.4,30.57,KGS
HOT WATER BOTTLES,40149010,2.05,0.32,0.38,-10.69,5.39,4.3,-1.5,1.43,-0.6,4.79,KGS
ICE BAGS,40149020,0.08,4.7,0.03,-15.38,2.67,1.31,-1.24,1.24,0.05,6.9,KGS
FEEDING BOTTLE NIPPLE,40149030,2.68,4.53,0.83,35.27,3.23,3.1,-1.42,20.41,1.48,12.27,KGS
OTHER ARTICLS OF OTHR HYGNC AND PHRMCTL ARTCLS,40149090,10.65,-2.12,2.52,-8.28,4.23,5.38,-1.83,12.11,0.59,8.17,KGS
*SURGICLE GLOVES&MITTENS AND MITTS,40151100,0,-5.56,0,-50,0,0.73,-5.56,0,-5.56,0,PRS
OF A KIND USED FOR MEDICAL& SURGICAL& DENTAL OR VETERINARY PURPOSES,40151200,38.18,1.52,52.38,6.09,0.73,0.67,-0.6,0.05,-0.35,0.14,PRS
OTHER GLOVES&MITTENS AND MITTS,40151900,69.77,-2.84,7.14,-33.88,9.77,6.77,-2.31,0.04,-1.16,0.1,PRS
RUBBER APRON,40159010,0.07,-4.97,0.02,-26.92,3.5,13.73,-23.48,19.6,0.97,0.56,PRS
LABELS,40159020,0.14,-2.78,0.04,-30,3.5,2.88,-4.02,8.95,10.05,9.91,KGS
INDUSTRIAL GLOVES,40159030,11.53,1.85,1.51,20.78,7.64,7.96,-1.95,0.06,-1.68,0.9,PRS
DIVING SUITS OF VULCANISED RUBR,40159091,0.33,1.59,0.01,-31.25,33,12.22,0.18,28.85,1.28,36.63,KGS
OTHERS ARTCL. OF APARL AND CLOTHING ACCESSORIES FOR ALL PUEPOSES EXCL.GLOVES/ APPRON AND DIVING SVITS ETC.,40159099,6.22,1.66,0.88,-19.72,7.07,3.93,0.38,8.73,8.81,19.06,KGS
OTHR ARTCLS OF CELLULAR RUBBER,40161000,5.4,5.67,2.35,1.84,2.3,1.47,-0.25,9.7,0.09,7.47,KGS
FLOOR COVERINGS AND MATS,40169100,9.16,3.03,96.7,6.4,0.09,0.08,-0.54,1.6,-0.32,1.14,KGS
ERASERS,40169200,3.39,1.23,4.18,1.56,0.81,0.72,-0.13,1.35,-0.05,2.09,KGS
PATCHES FR PUNCTURE REPAIR OF SELF-VULCNSNG RUBR/A RUBR LACKING,40169310,3.89,0.71,7.34,5.95,0.53,0.53,0.26,13.33,-0.2,11.73,KGS
RUBBER RING(O-RING),40169320,68.55,0.89,12.7,19.83,5.4,6.15,-0.19,32.72,0.54,16.36,KGS
RUBBER SEALS(OIL SEALS&ETC),40169330,100.29,0.71,49.27,9.36,2.04,2.11,-0.3,26.25,0.33,27.62,KGS
GASKETS,40169340,53.88,0.7,40.19,13.22,1.34,1.46,-1.66,14.87,0.09,10.78,KGS
WASHERS,40169350,7.54,3.15,1.79,0.85,4.21,3.11,1.14,29.97,2.14,18.89,KGS
PLUGS,40169360,2.36,1.1,0.47,-15.1,5.02,3.32,-2.31,6.24,0.48,11.23,KGS
OTHER ARTICLES OF GASKETS WASHERS AND OTHER SEAL,40169390,196.02,0.81,99.96,16.57,1.96,2.18,-0.08,21.33,0.35,7.34,KGS
BOAT/DOCK FENDERS W/N INFLATABLE,40169400,1.96,8.46,9.34,-2.72,0.21,0.11,1.29,6.22,-0.45,2.96,KGS
AIR MATTRESSES OF INFLATABLE ARTCLES,40169510,1.01,1.4,0.04,50,25.25,34.3,-2.12,2.67,1.6,6.77,KGS
OTHER ITEMS OF INFLATABLE ARTCLES,40169590,12.71,0.44,5.72,11.77,2.22,2.45,6.11,18.09,0.42,9.02,KGS
RUBBER COTS FOR TEXTILE INDUSTRY,40169910,3.2,-2.11,8.87,4.42,0.36,0.56,-1.78,21.53,0.03,11.26,KGS
RUBBER BANDS,40169920,3.31,2.88,0.59,31.94,5.61,5.9,1.27,2.33,3.9,4.39,KGS
RUBBER THREAD,40169930,0.14,-4.07,0.71,9.17,0.2,0.68,1.14,7.56,-1.08,1.43,KGS
RUBBER BLANKETS,40169940,12.88,0.89,5.01,33.69,2.57,3.3,-1.29,15.96,0.04,20.1,KGS
RUBBER CUSHION,40169950,4,-0.94,0.77,-9.62,5.19,5.08,-0.1,8.41,-2.46,4.47,KGS
RUBBER BUSH,40169960,11.16,-0.01,12.15,14.1,0.92,1.1,-1.43,8.99,0.07,5.37,KGS
EAR PLUG,40169970,0.83,-0.77,0.02,-40.32,41.5,11.27,26.2,41.25,-4.43,5.55,KGS
STOPPERS,40169980,66.14,-0.83,62,-2.32,1.07,1.16,5.23,20.4,-0.75,9.01,KGS
OTHERS ARTICLES OF VULCANISED RUBBER EXCL. MATS/GASKETS AND OTHER INFLATABLE ARTICLES,40169990,184.66,0.1,202.14,5.48,0.91,0.97,-0.38,11.38,0.01,6.46,KGS
PLTS SHEETS RODS AND TUBES ETC OF EBONITE AND VULCANITE,40170010,0.18,-4.89,0.08,16.67,2.25,18,-2.97,5.8,-0.13,3.7,KGS
SCRAP WASTE AND PWDR OF HARDENED RUBBER (EBONITE AND VULCANITE),40170020,0.23,18.4,0.02,-33.33,11.5,1.95,-0.07,1.3,-27.08,1.03,KGS
PRINTERS ROLLER,40170030,0.16,-1.18,0.52,43.98,0.31,0.57,-1,11.43,-1.72,5.79,KGS
TEXTILE ROLLERS,40170040,0,-5.56,0,-50,0,1,-5.56,0,-5.56,0,KGS
TYPE WRITERS AND CYCLSTYLNG ROLLERS,40170050,0,0,0,-50,0,0,0,0,-5.56,0,KGS
OTHERS,40170090,2.29,3.08,0.57,-20.82,4.02,1.92,-2.87,2.93,-0.15,3.36,KGS
HIDES AND SKINS OF COW INCLDING COW CALF,41012010,2.94,2.68,0.01,0,294,889,-0.6,0.85,0.02,0.23,KGS
HIDES AND SKINS OF BUFFALO INCLDNG BUFFALD CALF,41012020,0.05,36.11,0.17,-35.09,0.29,0.04,0.43,0.96,-1.28,0.16,KGS
OTHER HIDES AND SKINS,41012090,0.26,-1.51,0,-50,0,66.5,0.63,2.83,-5.56,0,KGS
HIDES AND SKINS OF COW INCLDING COW CALF,41015010,10.13,6.81,0,0,0,0,-0.39,1,0,0,KGS
HIDES AND SKINS OF BUFFFALO INCDNG BUFFOLOCALF.,41015020,0.04,-2.05,0.97,-3.51,0.04,0.06,-0.91,0.59,-1.22,0.19,KGS
OTHER HIDES AND SKINS.,41015090,7.32,2.39,0,-50,0,1133.5,-0.27,0.98,-5.56,0,KGS
HIDES AND SKINS OF COW INCLDNG COW CALF,41019010,1.23,-3.39,0,0,0,0,0.15,1.45,0,0,KGS
HIDES AND SKINS OF BAFFALO INCLDNG BUFFALOCALF,41019020,0,-5.56,0.02,-20,0,0.92,-5.56,0,290.13,3.1,KGS
OTHER HIDES ANS SKINS,41019090,1.66,-2.62,0.02,-39.66,83,35.71,-1.63,0.82,-4.09,0.1,KGS
SHEEPSKINS,41021010,0.79,4.81,0,0,0,0,-1.09,0.62,0,0,KGS
PELTS OF BABY LAMBS,41021020,0,0,0,0,0,0,0,0,0,0,KGS
LAMB SKIN OTHER THAN PELT,41021030,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
SHEEP SKINS,41022110,1.81,-0.03,0,0,0,0,4.15,3.72,0,0,KGS
LAMB SKINS,41022120,0.27,-0.92,0,0,0,0,0.7,2.82,0,0,KGS
LAMB PELT,41022130,0.75,-0.02,0,0,0,0,9.2,3.31,0,0,KGS
SHEEP SKINS,41022910,2.08,-2.34,0,0,0,0,-0.93,2.3,0,0,KGS
LAMB SKINS,41022920,0.13,-3.93,0,0,0,0,4.52,1.77,0,0,KGS
RAW HIDES AND SKINS OF SWINE,41033000,0,0,0,0,0,0,0,0,0,0,KGS
OTHERS EXCL REPTILES AND SWINE,41039000,1.4,3.56,0,0,0,0,-0.21,2.02,0,0,KGS
FULL GRAINS-UNSPLIT/GRAIN-SPLITS OF BOVINEIN WET STATE INCLDNG WET-BLUE,41041100,40.13,2.41,0.52,160.81,77.17,139.48,-0.06,2.86,-2.14,0.28,KGS
OTHER GRAIN OF BOVINE IN WET STATE INCLDNGWET-BLUE,41041900,32.73,-0.71,0.34,138.89,96.26,238.2,-0.51,2.09,-0.72,0.25,KGS
FULL GRAINS-UNSPLIT/GRAIN-SPLITS OF BOVINE IN DRY STATE(CRUST),41044100,40.86,1,0.01,0,4086,3620.25,0.25,13.75,-3.78,3.32,KGS
OTHER GRAIN OF BOVINE IN DRY STATE (CRUST),41044900,36.73,0.56,0.31,12,118.48,129.1,0.06,13.53,4.54,17.93,KGS
TANED/CRUST SKIN OF SHEEP OR LAMB WITHOUT WOOL WHETHER OR NOT SPLIT BUT NOT FURTHER PREPARED. IN WET STATE,41051000,42.16,-0.13,0.01,-46.34,4216,408.52,0.25,3.44,-3.77,0.28,KGS
TANED/CRUST SKIN OF SHEEP OR LAMB WITHOUT WOOL WHETHER OR NOT SPLIT BUT NOT FURTHER PREPARED IN DRY STATE,41053000,1.35,0.43,0,0,0,0,0.89,19.77,0,0,KGS
TANED/CRUST HIDE ANDSKINS OF GOAT OR KIDS INWET STATE INCLUDING WET-BLUE.,41062100,2.98,-1.18,0,-50,0,143.3,-0.99,2.19,-5.56,0,KGS
TANED/CRUST HIDE AND SKINS OF GOAT OR KIDS IN DRY STATE (CRUST),41062200,0.15,0.69,4.18,-8.06,0.04,0.03,2.86,13.21,-0.3,14.64,KGS
TANED/CRUST HIDE AND SKINS OF SWINE IN WET STATE INCLUDING WET-BLUE.,41063100,0,0,0,0,0,0,0,0,0,0,KGS
TANED/CRUST HIDE ANDSKIN OF SWINE IN DRY STATE(CRUST),41063200,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
TANED/CRUST HIDE AND SKINS OF REPTILES,41064000,0,0,0,0,0,0,0,0,0,0,0
TANED/CRUST HIDE AND SKINS OF OTHER ANIMALS IN WET STATE INCLUDING WET-BLUE,41069100,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
TANED/CRUST HIDE AND SKINS OF OTHER ANIMALS IN DRY STATE (CRUST),41069200,0.02,-2.78,0,0,0,0,1.73,69.69,0,0,KGS
LREATHER FURTHER OF BOVIN FULL GRAINS- UNSPLIT OF WHOLE HIDES/SKINS,41071100,33.18,-3.29,45.33,4.27,0.73,1.63,-1.88,11.16,-0.45,16.74,KGS
LEATHERFUTHER OF BOVIN GRAIN-SPLIT OF WHOLE HIDES/SKINS,41071200,55.5,1.09,3.47,120.66,15.99,29.85,-1.08,19.3,-0.11,11.73,KGS
OTHER WHOLE HIDS/SKINS,41071900,14.03,3.47,75.36,-0.86,0.19,0.13,-0.37,19.18,0.18,7.69,KGS
FULL GRAINS-UNSPLIT OF OTHER HIDES/SKINS INCLUDING SIDES,41079100,17.88,-0.14,1.62,172.94,11.04,26.9,-0.71,16.98,-2.11,2.25,KGS
GRAIN-SPLIT OF OTHER HIDES/SKINS INCLUDINGSIDES,41079200,36.88,0.14,9.25,-15.25,3.99,2.94,-1.28,3.21,-0.56,7.77,KGS
OTHER/HIDES/SKINS INCLUDING SIDES,41079900,21.52,1.55,66.48,0.43,0.32,0.27,0.21,15.35,-0.43,6.71,KGS
LEATHER FURTHER PREPARD AFTER TANING/CRUST LEATHER OF SHEEP/LAMB WITHOUT WOOL W.O.N. SPLIT,41120000,6.31,-0.67,45.34,7.34,0.14,0.17,15.63,57.64,-0.17,31.37,KGS
LEATHER FURTHER OF GOATS/KIDS,41131000,2.11,-0.64,45.76,2.57,0.05,0.05,0.91,41.14,0.14,24.41,KGS
LEATHER FURTHER OF SWINE,41132000,1.26,2.55,0,0,0,0,0.18,17.87,0,0,KGS
LTATHER FURTHER OF REPTILES,41133000,0.01,0,0,0,0,0,-1.81,625,0,0,KGS
LEATHER FURTHER OF OTHER ANIMALS,41139000,0.24,-3.27,1.35,47.83,0.18,0.58,12.11,100.13,1.2,47.86,KGS
CHAMOIS LEATHER(INCLUDING COMBINATION CHAMOIS),41141000,0.01,-4.63,0.67,-18.3,0.01,0.05,144.27,58.48,1.61,33.41,KGS
PATENT LEATHER AND PATENT LAMINATD LEATHER,41142010,0.53,-2.78,0.67,6.46,0.79,1.51,-0.2,22.84,-0.59,21.58,KGS
METALLISED LEATHER,41142020,0.08,9.26,0.01,100,8,8.5,-1.02,33.63,-44.39,23.2,KGS
COMPOSIUTION LEATHER WITH BASE OF LEATHER/LEATHER FIBRE IN SLABS/SHEET/STRIPS,41151000,5.77,0.91,0.02,-33.33,288.5,103.2,2.2,3.67,1.51,6.83,KGS
CUTTING OF LEATHER,41152010,0.26,1.22,0,-50,0,10,0.5,0.36,-5.56,0,KGS
OTHER PARING/WASTE OF LEATHER,41152090,0.29,1.07,0.07,45.45,4.14,5.67,18.22,14.46,0.55,0.38,KGS
SDDLRY AND HRNSS FOR ANY ANML (INCL TRACTSLEADS&KNEE PADS&MUZLS& SDDLE CLOTHS&SDDLE BAGS-DOG COATS AND THE LIKE)OF,42010000,2.96,-0.05,197.22,-4.51,0.02,0.01,-0.61,9.64,-0.1,12.04,KGS
TRAVEL GOODS(TRUNKS ETC)OF LEATHER,42021110,0.85,9.68,13.33,5.17,0.06,0.04,-2.46,8.43,-1.35,13.82,NOS
TOILET CASES OF LEATHER,42021120,0.05,0,4.01,11.5,0.01,0,2.95,6.54,2.31,13.02,NOS
SATC HELS OF LEATHER,42021130,0.08,5.56,5.69,-2.48,0.01,0.01,-2.25,6.53,-0.35,36.1,NOS
BRIEF CASES OF LEATHER,42021140,0.26,-1.35,3.83,16.72,0.07,0.1,-0.54,291.48,0.76,49.6,NOS
EXECUTIVE/CASE OF LEATHER,42021150,0,-5.56,3.33,14.45,0,0,-5.56,0,0.29,36.92,NOS
VANITY CASE OF LEATHER,42021160,0,-5.56,0.16,22.73,0,0.04,-5.56,0,1.32,26.37,NOS
ATTACHE/CASE OF LEATHER,42021170,0,0,0,0,0,0,0,0,0,0,NOS
OTHER CASE OF LEATHER,42021190,0.8,0.79,37.24,2.1,0.02,0.02,-2.73,2.94,1.41,17.51,NOS
TOILET CASES WITH OUTER SURFACE OF PLASTIC OR OF TEXTILE MATERIALS,42021210,1.49,3.13,0.31,31.58,4.81,4.94,5.26,4.1,-1.74,4.42,NOS
PLASTIC MOULDED SUITCASES,42021220,29.64,-0.16,33.45,5.53,0.89,0.98,-1.96,13.79,-0.57,22.39,NOS
PLASTIC MOULDED BRIEF-CASES.,42021230,0,-5.56,0.07,-23.08,0,0.28,-5.56,0,-2.71,4.26,NOS
SATCHELS OF TEXTILE MATERIALS.,42021240,3.83,0.23,2.51,-15.36,1.53,1.11,0.53,6.65,-2.68,6.93,NOS
OTHER TRAVEL-GOODS OF PLASTIC/TEXTILE MATERIALS,42021250,48.33,-2.07,4.63,18.22,10.44,18.86,-1.8,10.99,1.92,9.2,NOS
BRIEF CASE OF PLASTIC/TEXTILE MATERIALS,42021260,1.17,2.5,0.11,-20,10.64,5.44,3.56,79.85,0.7,26.32,NOS
EXECUTIVE-CASE OTHER THAN PLASTIC MOULDED,42021270,0.08,3.97,0.16,-25.26,0.5,0.19,1.03,8.7,-2.14,17.25,NOS
VANITY-CASE OF PLASTIC/TEXTILE MATERIALS,42021280,0.14,-0.13,0.02,25,7,9.5,0.5,1.85,1.43,1.79,NOS
OTHERS,42021290,95.61,3.01,15.03,10.46,6.36,5.38,-0.12,4.97,1.46,4.33,NOS
TRAVEL GOODS OF LEATHER,42021910,0.9,7.84,0.45,-9.58,2,0.95,-1,11.88,3.93,18.93,NOS
TOILET-CASES,42021920,0.05,-2.58,0.04,-14.71,1.25,1.57,0.3,1.23,2.15,8.89,NOS
SATCHELS,42021930,0.03,-1.98,0.13,-23.65,0.23,0.2,-0.6,125,-1.91,1.69,NOS
BRIEF CASES(OTHER THAN PLASTIC MOULDED),42021940,0.05,36.11,0.01,-25,5,1,-0.89,30.4,-2.2,18.98,NOS
EXECUTIVE-CASES,42021950,0,0,0.03,175,0,0,0,0,9.14,38.56,NOS
VANITY-CASES,42021960,0.19,-1.6,0.03,0,6.33,33,70.96,1.46,2.34,4.82,NOS
OTHERS,42021990,2.22,0.03,5.18,12.86,0.43,0.5,-1.46,0.66,-0.4,4.55,NOS
HANDBAGS OF LEATHER FOR LADIES,42022110,0.9,-3.94,170.23,2.21,0.01,0.02,-2.74,5.05,0,24.56,NOS
VANITY BAGS OF LEATHER,42022120,0,0,0.32,-11.9,0,0,0,0,-0.68,9.86,NOS
OTHER LEATHER HAND BAGS.,42022190,27.34,3.42,223.25,0.84,0.12,0.09,8.16,57.66,-0.15,19.49,NOS
HND BGS/SHPPNG BGS OF ARTFCL PLSTC MTRL,42022210,51.19,-0.66,9.34,-17.3,5.48,4.32,-0.44,3,-1.12,3.1,NOS
HAND BAGS/SHOPPING BAGS OF COTTON,42022220,2.75,6.54,301.15,7.22,0.01,0.01,2.58,0.92,-0.12,0.89,NOS
JUTE HAND BAGS/SHOPPING BAGS.,42022230,0.49,18.46,72.86,-9.13,0.01,0,4.11,0.9,-0.52,1.03,NOS
VANITY BAGS WITH OUTER SURFACE OF SHEETINGOF PLASTIC/TEXTILE,42022240,0.22,4.35,0.16,-25,1.38,0.53,0.27,2.17,7.15,6.32,NOS
OTHERS,42022290,87.93,2.71,104.14,4.18,0.84,0.68,0.21,0.45,0.49,2.19,NOS
HNBGS OF OTHR MTRLS EXCL WKRWRK/BSKT WRK,42022910,8.85,0.35,5.3,-15.42,1.67,1.2,3.17,0.46,-0.61,2.93,NOS
OTHERS,42022990,8.19,-0.84,16.98,-1.02,0.48,0.54,-0.17,0.22,0.35,5.14,NOS
JEWELLERY BOXES,42023110,0.07,4.17,0.87,-12.93,0.08,0.04,-2.49,0.72,0.8,3.12,NOS
WALLETS AND PURSES OF LEATHER,42023120,3.22,-1.99,232.49,-2.37,0.01,0.02,-3.3,9.18,-0.06,5.01,NOS
OTHERS,42023190,2.41,-2.54,64.82,-3.39,0.04,0.06,0.81,9.53,-0.31,3.54,NOS
JEWELLERY BOX,42023210,0.76,-0.17,1.72,38.66,0.44,0.67,10.12,1.08,4.43,2.08,NOS
OTHERS,42023290,22.79,6.49,27.49,7.36,0.83,0.55,-0.84,0.54,0.88,3.64,NOS
JEWELLERY BOX,42023910,1.1,20.27,2.72,4.11,0.4,0.18,-0.94,0.94,0.16,1.16,NOS
OTHERS,42023990,2.33,2.23,7.55,-8.98,0.31,0.21,1.58,0.65,0.05,2.27,NOS
OTHR ARTICLS WITH OUTER SURFCE OF LTHR OF COMPOSITION OF LEATHER/OF PATENT LEATHER,42029100,6.18,1.32,48.04,21.21,0.13,0.14,-0.07,151.26,1.2,8.01,NOS
OTHER ARTICLES WITH OUTER SURFACE OF PLASTIC SHEETING OR OF TXTL MATERIALS,42029200,34.55,2.34,36.46,12.47,0.95,0.87,9.86,3.9,1.02,2.19,NOS
OTHR SIMILAR CONTAINERS OF HDNG 4202,42029900,27,0.78,20.57,10.91,1.31,1.38,-3.07,0.18,1.98,2.77,NOS
JACKETS AND JERSEYS,42031010,0.78,-0.96,216.11,0.35,0,0,0.77,115.08,0.11,64.6,KGS
OTHER ARTICLES OF APPAREL,42031090,1.11,2.19,87.19,2.1,0.01,0.01,9.38,176.19,-0.23,65.21,KGS
GLOVES FOR SPORTS,42032110,1.45,-0.3,2.01,-31.05,0.72,0.34,-2.29,18.25,2.19,20.89,KGS
MITTENS AND MITTS FOR SPORTS,42032120,0,-5.56,0,-50,0,0.6,-5.56,0,-5.56,0,KGS
GLOVES FOR USE IN INDUSTRY,42032910,0.51,-1.31,193.33,4.46,0,0,-1.8,9.33,-0.03,7.91,KGS
